symbol,time_et,bkt,magH,magL,magC,atr,first,fBar,drv,clLoc,vwap,htf,dPdh,dPdl
ES1!,2026-05-14 09:30,930,7500.5,7479.75,7498.25,7.37,high,1,0.169,0.89,1,1,-7.39,18.31
ES1!,2026-05-14 09:45,945,7503.25,7485.75,7488.5,8.1,none,0,0.834,0.16,-1,1,-5.53,15.47
ES1!,2026-05-14 10:00,1000,7500.75,7486.75,7499.25,8.52,high,1,0.293,0.89,1,1,-6.51,15.96
ES1!,2026-05-14 10:15,1015,7508,7498.75,7503.75,8.57,high,16,0.058,0.54,1,1,-7,16.39
ES1!,2026-05-14 10:30,1030,7514.75,7501.5,7514.5,8.91,high,1,0.197,0.98,1,1,-7.94,16.98
ES1!,2026-05-14 10:45,1045,7520,7514.5,7516.5,8.66,high,4,0.317,0.36,1,1,-8.4,17.69
ES1!,2026-05-14 11:00,1100,7525,7515.75,7525,8.7,high,1,0.287,1,1,1,-9.33,18.58
ES1!,2026-05-14 11:15,1115,7533,7525,7530,8.65,high,8,0.202,0.63,1,1,-9.97,19.27
ES1!,2026-05-14 11:30,1130,7533,7526.75,7532.25,8.48,high,21,0,0.88,1,1,-10.43,19.92
ES1!,2026-05-14 11:45,1145,7537.5,7530.5,7537.25,8.38,high,1,0.06,0.96,1,1,-11.16,20.77
ES1!,2026-05-14 12:00,1200,7540,7533.75,7534.25,8.22,low,1,0.182,0.08,1,1,-11,20.79
ES1!,2026-05-14 12:15,1215,7538,7522.75,7524.25,8.73,low,7,0.286,0.1,1,1,-9.22,18.45
ES1!,2026-05-14 12:30,1230,7527.75,7518,7522.75,8.8,low,23,-0.227,0.49,1,1,-8.98,18.13
ES1!,2026-05-14 12:45,1245,7526.75,7515.75,7522.75,8.96,high,7,0.223,0.64,1,1,-8.82,17.81
ES1!,2026-05-14 13:00,1300,7527.5,7513.75,7515,9.3,low,1,-0.296,0.09,1,1,-7.66,16.32
ES1!,2026-05-14 13:15,1315,7516.25,7507,7513.5,9.3,high,2,0.35,0.7,1,1,-7.5,16.16
ES1!,2026-05-14 13:30,1330,7523.75,7511,7521.5,9.54,high,1,0.341,0.82,1,1,-8.15,16.58
ES1!,2026-05-14 13:45,1345,7527,7521,7521.5,9.29,low,1,-1.05,0.08,1,1,-8.37,17.04
ES1!,2026-05-14 14:00,1400,7522.75,7511,7522.75,9.47,high,1,0.132,1,1,1,-8.35,16.85
ES1!,2026-05-14 14:15,1415,7527.5,7518,7519.75,9.47,low,23,0.449,0.18,1,1,-8.03,16.53
ES1!,2026-05-14 14:30,1430,7525.25,7517.75,7521.75,9.33,high,10,-0.054,0.53,1,1,-8.36,16.99
ES1!,2026-05-14 14:45,1445,7528,7519.5,7527.5,9.27,high,1,0.297,0.94,1,1,-9.04,17.72
ES1!,2026-05-14 15:00,1500,7531.25,7526,7528.5,8.98,low,28,0.084,0.48,1,1,-9.44,18.4
ES1!,2026-05-14 15:15,1515,7530.75,7524.25,7525,8.8,low,1,0.398,0.12,1,1,-9.23,18.37
ES1!,2026-05-14 15:30,1530,7531.25,7524,7529.75,8.69,low,11,-0.173,0.79,1,1,-9.89,19.15
ES1!,2026-05-14 15:45,1545,7530.5,7522.5,7526,8.64,none,0,0.463,0.44,1,1,-9.52,18.83
ES1!,2026-05-14 16:00,1600,7530,7525.75,7527,8.33,low,2,-0.24,0.29,1,1,-9.99,19.66
ES1!,2026-05-14 16:15,1615,7527.25,7518.5,7519.75,8.36,low,21,0.09,0.14,1,1,-9.09,18.72
ES1!,2026-05-14 16:30,1630,7521.75,7518.25,7520,8.01,high,7,0.156,0.5,1,1,-9.52,19.56
ES1!,2026-05-14 16:45,1645,7524,7520,7523,7.73,high,1,0.356,0.75,1,1,-5.08,16.05
ES1!,2026-05-14 18:00,1800,7527,7521.25,7523.5,7.58,low,7,-0.033,0.39,-1,1,-5.24,16.41
ES1!,2026-05-14 18:15,1815,7524,7520.5,7524,7.29,high,1,0.103,1,1,1,-5.52,17.14
ES1!,2026-05-14 18:30,1830,7525.5,7523.5,7524.5,6.91,high,4,0.072,0.5,1,1,-5.89,18.15
ES1!,2026-05-14 18:45,1845,7526.25,7523.75,7524,6.6,high,26,0.227,0.1,-1,1,-6.1,18.94
ES1!,2026-05-14 19:00,1900,7526.5,7524.25,7526.25,6.31,high,1,-0.04,0.89,1,1,-6.74,20.18
ES1!,2026-05-14 19:15,1915,7527,7524,7526.75,6.07,high,1,0,0.92,1,1,-7.08,21.04
ES1!,2026-05-14 19:30,1930,7528.25,7526.5,7526.5,5.76,low,1,-0.174,0,1,1,-7.42,22.13
ES1!,2026-05-14 19:45,1945,7526.5,7519.25,7521,5.87,low,3,-0.256,0.24,-1,1,-6.35,20.79
ES1!,2026-05-14 20:00,2000,7522.75,7517,7522.5,5.86,high,1,0.427,0.96,-1,1,-6.61,21.08
ES1!,2026-05-14 20:15,2015,7526.5,7522.25,7525.5,5.74,low,13,-0.218,0.76,1,1,-7.27,22.02
ES1!,2026-05-14 20:30,2030,7525.75,7512.75,7517.25,6.26,none,0,0.24,0.35,-1,1,-5.35,18.88
ES1!,2026-05-14 20:45,2045,7519.5,7514.75,7519,6.15,high,1,-0.041,0.89,-1,1,-5.73,19.5
ES1!,2026-05-14 21:00,2100,7520,7512.75,7514.25,6.23,low,1,0.04,0.21,-1,1,-4.89,18.49
ES1!,2026-05-14 21:15,2115,7515.25,7503.5,7504.5,6.63,low,1,-0.604,0.09,-1,1,-3.13,15.92
ES1!,2026-05-14 21:30,2130,7508,7498,7504.75,6.87,low,6,-0.473,0.68,-1,1,-3.06,15.4
ES1!,2026-05-14 21:45,2145,7504.75,7494.25,7495.25,7.13,low,1,0.105,0.1,-1,1,-1.61,13.5
ES1!,2026-05-14 22:00,2200,7500.25,7493.75,7498,7.08,high,4,0.141,0.65,-1,1,-2.01,13.98
ES1!,2026-05-14 22:15,2215,7503.5,7496.5,7500,7.08,high,29,-0.106,0.5,-1,1,-2.3,14.27
ES1!,2026-05-14 22:30,2230,7504.25,7497.25,7504.25,7.07,high,1,0.106,1,-1,1,-2.9,14.88
ES1!,2026-05-14 22:45,2245,7512,7502.25,7508.25,7.26,none,0,0,0.62,-1,-1,-3.37,15.04
ES1!,2026-05-14 23:00,2300,7509.5,7505.25,7508.25,7.05,none,0,-0.177,0.71,-1,-1,-3.48,15.5
ES1!,2026-05-14 23:15,2315,7509.25,7506.5,7508.25,6.74,low,3,-0.223,0.64,-1,-1,-3.63,16.21
ES1!,2026-05-14 23:30,2330,7509.5,7501.25,7506.25,6.85,none,0,0.11,0.61,-1,-1,-3.29,15.66
ES1!,2026-05-14 23:45,2345,7508,7503.75,7505.25,6.66,low,2,-0.188,0.35,-1,-1,-3.23,15.95
ES1!,2026-05-15 00:00,0,7505.25,7499.5,7503.75,6.6,none,0,0.152,0.74,-1,-1,-3.03,15.88
ES1!,2026-05-15 00:15,15,7505,7499.75,7500.5,6.5,low,1,-0.308,0.14,-1,-1,-2.58,15.61
ES1!,2026-05-15 00:30,30,7501.75,7496.75,7497.25,6.39,low,6,0.117,0.1,-1,-1,-2.11,15.37
ES1!,2026-05-15 00:45,45,7498.5,7492.25,7493.5,6.38,low,1,-0.117,0.2,-1,-1,-1.53,14.8
ES1!,2026-05-15 01:00,100,7493.75,7486,7488.25,6.48,low,18,0.077,0.29,-1,-1,-0.69,13.77
ES1!,2026-05-15 01:15,115,7490.75,7486,7488.25,6.36,low,2,-0.551,0.47,-1,-1,-0.71,14.04
ES1!,2026-05-15 01:30,130,7488.75,7476.75,7477.5,6.76,low,1,-0.185,0.06,-1,-1,0.92,11.61
ES1!,2026-05-15 01:45,145,7478,7466,7466,7.13,low,1,-0.175,0,-1,-1,2.49,9.39
ES1!,2026-05-15 02:00,200,7477,7463.25,7475.25,7.61,high,1,0.46,0.87,-1,-1,1.12,10.02
ES1!,2026-05-15 02:15,215,7479.5,7463,7469.5,8.24,high,14,0.637,0.39,-1,-1,1.73,8.55
