symbol,time_et,bkt,magH,magL,magC,atr,first,fBar,drv,clLoc,vwap,htf,dPdh,dPdl
NQ1!,2026-05-14 09:30,930,29628.5,29458.5,29626,51.16,high,1,0.679,0.99,1,-1,-3.33,17.28
NQ1!,2026-05-14 09:45,945,29684.75,29526.75,29541.75,58.8,none,0,0.982,0.09,-1,-1,-1.46,13.6
NQ1!,2026-05-14 10:00,1000,29616.75,29533,29583.75,60.58,high,7,0.483,0.61,1,-1,-2.11,13.9
NQ1!,2026-05-14 10:15,1015,29666.5,29578.25,29623,62.55,high,17,0.084,0.51,1,1,-2.67,14.08
NQ1!,2026-05-14 10:30,1030,29686.75,29607,29686.25,63.78,high,1,0.098,0.99,1,1,-3.61,14.8
NQ1!,2026-05-14 10:45,1045,29730,29664,29674.25,63.94,high,30,0.168,0.16,1,1,-3.42,14.58
NQ1!,2026-05-14 11:00,1100,29734.5,29665,29733,64.34,high,1,0.194,0.98,1,1,-4.31,15.4
NQ1!,2026-05-14 11:15,1115,29773.75,29731.75,29756.75,62.74,low,18,0.096,0.6,1,1,-4.8,16.17
NQ1!,2026-05-14 11:30,1130,29770,29727.75,29752,61.28,none,0,-0.02,0.57,1,1,-4.83,16.48
NQ1!,2026-05-14 11:45,1145,29769.75,29733,29755.25,59.53,high,3,0.189,0.61,1,1,-5.03,17.02
NQ1!,2026-05-14 12:00,1200,29782,29752.5,29756,57.38,low,10,0.253,0.12,1,1,-5.23,17.67
NQ1!,2026-05-14 12:15,1215,29782,29714.5,29727.25,58.1,low,7,0.25,0.19,1,1,-4.67,16.96
NQ1!,2026-05-14 12:30,1230,29743.25,29697.25,29719,57.24,low,2,-0.218,0.47,1,1,-4.6,17.07
NQ1!,2026-05-14 12:45,1245,29739,29692.25,29728,56.49,high,1,0.208,0.76,1,1,-4.82,17.45
NQ1!,2026-05-14 13:00,1300,29754.5,29652,29660,59.78,low,1,-0.238,0.08,1,1,-3.42,15.36
NQ1!,2026-05-14 13:15,1315,29670,29595.25,29648,60.85,high,3,0.394,0.71,1,1,-3.16,14.89
NQ1!,2026-05-14 13:30,1330,29702.5,29636.75,29697.5,61.2,high,1,0.278,0.92,1,1,-3.95,15.61
NQ1!,2026-05-14 13:45,1345,29752.5,29698.5,29731,60.75,low,2,-1.082,0.6,1,1,-4.53,16.28
NQ1!,2026-05-14 14:00,1400,29730.75,29640.5,29690,62.88,none,0,0.123,0.55,1,1,-3.73,15.08
NQ1!,2026-05-14 14:15,1415,29708,29660.25,29673.5,61.8,low,22,0.303,0.28,1,1,-3.52,15.07
NQ1!,2026-05-14 14:30,1430,29698,29655,29673,60.46,high,12,-0.124,0.42,1,1,-3.59,15.4
NQ1!,2026-05-14 14:45,1445,29717.75,29656.25,29708.5,60.53,high,1,0.33,0.85,1,1,-4.18,15.97
NQ1!,2026-05-14 15:00,1500,29732,29692.5,29706,59.03,high,16,0.076,0.34,1,1,-4.24,16.33
NQ1!,2026-05-14 15:15,1515,29735,29695.25,29698.75,57.65,high,25,0.317,0.09,1,1,-4.22,16.6
NQ1!,2026-05-14 15:30,1530,29735,29696.5,29727.25,56.28,low,11,-0.111,0.8,1,1,-4.82,17.51
NQ1!,2026-05-14 15:45,1545,29731.25,29678.5,29686.75,56.03,high,9,0.602,0.16,1,1,-4.12,16.86
NQ1!,2026-05-14 16:00,1600,29737.75,29685.25,29709.5,55.78,low,4,-0.125,0.46,1,1,-4.55,17.35
NQ1!,2026-05-14 16:15,1615,29711,29674.25,29681.75,54.42,low,14,0.037,0.2,1,1,-4.15,17.27
NQ1!,2026-05-14 16:30,1630,29691.75,29633.75,29659.25,54.68,none,0,0.096,0.44,1,1,-3.72,16.78
NQ1!,2026-05-14 16:45,1645,29688.5,29657.5,29688.5,52.98,high,1,0.33,1,1,1,-2.32,11.95
NQ1!,2026-05-14 18:00,1800,29718,29674.25,29694.25,52.32,low,7,-0.11,0.46,-1,1,-2.46,12.21
NQ1!,2026-05-14 18:15,1815,29700,29670,29698.75,50.73,high,1,0.108,0.96,1,1,-2.63,12.68
NQ1!,2026-05-14 18:30,1830,29711.25,29697.5,29707.75,48.09,high,3,0.114,0.75,1,1,-2.96,13.56
NQ1!,2026-05-14 18:45,1845,29720.5,29704.75,29708.5,45.78,none,0,0.18,0.24,1,1,-3.12,14.26
NQ1!,2026-05-14 19:00,1900,29719,29705.75,29718.5,43.46,high,1,-0.046,0.96,1,1,-3.52,15.26
NQ1!,2026-05-14 19:15,1915,29726.25,29705.75,29724.25,41.82,high,1,0.024,0.9,1,1,-3.8,15.99
NQ1!,2026-05-14 19:30,1930,29734,29715.75,29718,40.13,low,1,-0.143,0.12,1,1,-3.8,16.51
NQ1!,2026-05-14 19:45,1945,29718.75,29674.75,29687.5,40.41,low,3,-0.303,0.29,-1,1,-3.02,15.64
NQ1!,2026-05-14 20:00,2000,29700,29655.75,29700,40.68,high,1,0.356,1,1,1,-3.31,15.84
NQ1!,2026-05-14 20:15,2015,29727,29699,29720.75,39.78,low,13,-0.27,0.78,1,1,-3.9,16.72
NQ1!,2026-05-14 20:30,2030,29721.75,29636.5,29662,43.03,none,0,0.308,0.3,-1,1,-2.24,14.1
NQ1!,2026-05-14 20:45,2045,29688,29655,29684,42.31,high,1,-0.018,0.88,-1,1,-2.8,14.86
NQ1!,2026-05-14 21:00,2100,29691.5,29642,29657,42.82,low,10,0.035,0.3,-1,1,-2.14,14.05
NQ1!,2026-05-14 21:15,2115,29661.75,29581.5,29582.25,45.5,low,1,-0.456,0.01,-1,1,-0.37,11.58
NQ1!,2026-05-14 21:30,2130,29604.5,29546,29584.25,46.42,low,6,-0.539,0.65,-1,1,-0.4,11.39
NQ1!,2026-05-14 21:45,2145,29584.25,29512.75,29519,48.22,low,1,0.145,0.09,-1,1,0.96,9.61
NQ1!,2026-05-14 22:00,2200,29540,29498,29509.75,47.77,low,1,0.188,0.28,-1,-1,1.17,9.51
NQ1!,2026-05-14 22:15,2215,29555.75,29493.75,29525.5,48.79,high,29,-0.041,0.51,-1,-1,0.82,9.63
NQ1!,2026-05-14 22:30,2230,29556.75,29503.5,29554.5,49.11,high,1,0.143,0.96,-1,-1,0.22,10.16
NQ1!,2026-05-14 22:45,2245,29600.25,29547.5,29581,49.37,none,0,0.041,0.64,-1,-1,-0.31,10.64
NQ1!,2026-05-14 23:00,2300,29593.5,29563.5,29581.5,47.98,none,0,-0.083,0.6,-1,-1,-0.33,10.96
NQ1!,2026-05-14 23:15,2315,29587,29563.75,29572.25,46.22,low,3,-0.13,0.37,-1,-1,-0.15,11.18
NQ1!,2026-05-14 23:30,2330,29585.5,29531.25,29563.5,46.79,none,0,0.102,0.59,-1,-1,0.04,10.86
NQ1!,2026-05-14 23:45,2345,29574.75,29552,29563.25,45.07,low,5,-0.161,0.49,-1,-1,0.05,11.26
NQ1!,2026-05-15 00:00,0,29563.5,29523.75,29549.25,44.69,low,12,0.078,0.64,-1,-1,0.36,11.05
NQ1!,2026-05-15 00:15,15,29555,29515.5,29520.5,44.32,low,1,-0.209,0.13,-1,-1,1.02,10.49
NQ1!,2026-05-15 00:30,30,29537,29500.25,29507.5,43.78,low,6,0.12,0.2,-1,-1,1.32,10.32
NQ1!,2026-05-15 00:45,45,29516.75,29445.75,29462.5,45.73,low,2,-0.164,0.24,-1,-1,2.25,8.9
NQ1!,2026-05-15 01:00,100,29464,29406.5,29428,46.57,none,0,0.156,0.37,-1,-1,2.95,8
NQ1!,2026-05-15 01:15,115,29446,29414.75,29437,45.47,low,3,-0.649,0.71,-1,-1,2.83,8.39
NQ1!,2026-05-15 01:30,130,29439.75,29351.5,29357,48.53,low,1,-0.18,0.06,-1,-1,4.3,6.21
NQ1!,2026-05-15 01:45,145,29360.25,29280.5,29282.5,50.76,low,1,-0.542,0.03,-1,-1,5.58,4.47
NQ1!,2026-05-15 02:00,200,29349.75,29248,29332.75,54.4,high,3,0.354,0.83,-1,-1,4.28,5.1
NQ1!,2026-05-15 02:15,215,29355.25,29263.75,29306.5,57.05,high,9,0.613,0.47,-1,-1,4.54,4.4
NQ1!,2026-05-15 02:30,230,29404.75,29298.25,29401.75,60.58,high,1,-0.021,0.97,-1,-1,2.7,5.72
NQ1!,2026-05-15 02:45,245,29414.5,29379.5,29404.5,58.76,high,3,0.162,0.71,-1,-1,2.74,5.94
NQ1!,2026-05-15 03:00,300,29462,29394.75,29461.5,59.36,high,1,-0.118,0.99,-1,-1,1.75,6.84
